,lables
607,7
608,1
609,5
610,7
611,0
612,3
613,5
614,8
615,4
616,7
617,1
618,2
619,5
620,9
621,5
622,6
623,7
624,5
625,9
626,8
627,8
628,3
629,6
630,9
631,7
632,0
633,7
634,5
635,7
636,1
637,1
638,0
639,7
640,9
641,2
642,3
643,7
644,3
645,2
646,4
647,1
648,6
649,2
650,7
651,5
652,5
653,7
654,4
655,0
656,2
657,6
658,3
659,6
660,4
661,0
662,4
663,2
664,6
665,0
666,0
667,0
668,0
669,3
670,1
671,6
672,2
673,2
674,3
675,1
676,4
677,1
678,5
679,4
680,6
681,4
682,7
683,2
684,8
685,7
686,9
687,2
688,0
689,5
690,1
691,4
692,2
693,8
694,3
695,2
696,4
697,1
698,5
699,4
700,6
701,0
702,7
703,9
704,8
705,4
706,9
707,8
708,0
709,1
710,1
711,0
712,2
713,2
714,3
715,2
716,4
717,4
718,5
719,8
720,6
721,5
722,7
723,7
724,8
725,8
726,9
727,7
728,4
729,7
730,3
731,2
732,0
733,8
734,6
735,8
736,6
737,1
738,6
739,8
740,9
741,4
742,0
743,9
744,0
745,4
746,1
747,5
748,4
749,7
750,5
751,3
752,7
753,4
754,9
755,8
756,5
757,8
758,6
759,3
760,8
761,6
762,9
763,9
764,1
765,8
766,3
767,5
768,8
769,6
770,5
771,9
772,7
773,2
774,5
775,0
776,8
777,5
778,1
779,1
780,0
781,9
782,1
783,8
784,6
785,7
786,0
787,9
788,3
789,0
790,8
791,8
792,9
793,6
794,7
795,8
796,4
797,7
798,5
799,9
800,2
801,6
802,7
803,4
804,5
805,9
806,2
807,3
808,1
809,6
810,3
811,9
812,2
813,2
814,5
815,6
816,8
817,0
818,7
819,7
820,1
821,9
822,8
823,7
824,0
825,9
826,9
827,4
828,6
829,2
830,8
831,5
832,1
833,4
834,1
835,5
836,5
837,1
838,7
839,3
840,6
841,4
842,3
843,2
844,5
845,6
846,4
847,4
848,0
849,4
850,4
851,6
852,7
853,2
854,4
855,3
856,3
857,8
858,0
859,0
860,3
861,2
862,2
863,9
864,8
865,2
866,3
867,7
868,0
869,1
870,1
871,0
872,2
873,3
874,3
875,8
876,4
877,3
878,5
879,7
880,6
881,4
882,7
883,7
884,8
885,5
886,9
887,7
888,0
889,3
890,1
891,6
892,2
893,4
894,3
895,4
896,4
897,7
898,5
899,9
900,6
901,9
902,0
903,7
904,1
905,4
906,2
907,7
908,3
909,6
910,7
911,5
912,8
913,4
914,5
915,5
916,2
917,7
918,1
919,1
920,5
921,6
922,8
923,5
924,8
925,4
926,0
927,7
928,9
929,9
930,2
931,9
932,7
933,7
934,8
935,7
936,4
937,2
938,6
939,9
940,1
941,7
942,0
943,6
944,4
945,2
946,5
947,7
948,0
949,7
950,1
951,0
952,3
953,7
954,6
955,5
956,0
957,6
958,1
959,5
960,1
961,7
962,8
963,5
964,0
965,3
966,4
967,7
968,7
969,5
970,7
971,8
972,6
973,9
974,3
975,8
976,6
977,1
978,0
979,9
980,7
981,1
982,3
983,0
984,5
985,6
986,4
987,4
988,2
989,4
990,4
991,3
992,1
993,7
994,7
995,6
996,0
997,3
998,6
999,0
1000,7
1001,1
1002,1
1003,4
1004,9
1005,4
1006,3
1007,4
1008,8
1009,2
1010,2
1011,1
1012,8
1013,7
1014,0
1015,8
1016,1
1017,0
1018,7
1019,6
1020,3
1021,7
1022,7
1023,5
1024,8
1025,8
1026,9
1027,0
1028,0
1029,4
1030,1
1031,5
1032,2
1033,2
1034,3
1035,9
1036,4
1037,9
1038,5
1039,0
1040,6
1041,7
1042,7
1043,1
1044,8
1045,0
1046,2
1047,2
1048,0
1049,4
1050,1
1051,1
1052,2
1053,7
1054,3
1055,9
1056,7
1057,2
1058,8
1059,1
1060,9
1061,5
1062,8
1063,8
1064,1
1065,9
1066,8
1067,3
1068,1
1069,6
1070,5
1071,7
1072,4
1073,2
1074,7
1075,0
1076,3
1077,0
1078,4
1079,1
1080,1
1081,7
1082,9
1083,1
1084,1
1085,8
1086,5
1087,7
1088,5
1089,0
1090,6
1091,6
1092,0
1093,4
1094,1
1095,2
1096,3
1097,4
1098,4
1099,6
1100,8
1101,0
1102,9
1103,5
1104,8
1105,7
1106,0
1107,3
1108,5
1109,4
1110,5
1111,9
1112,6
1113,7
1114,1
1115,9
1116,6
1117,1
1118,3
1119,8
1120,3
1121,9
1122,1
1123,2
1124,7
1125,7
1126,7
1127,0
1128,2
1129,3
1130,1
1131,1
1132,4
1133,2
1134,5
1135,6
1136,0
1137,9
1138,6
1139,2
1140,8
1141,9
1142,2
1143,3
1144,3
1145,6
1146,9
1147,1
1148,4
1149,3
1150,3
1151,0
1152,7
1153,7
1154,1
1155,7
1156,7
1157,3
1158,6
1159,4
1160,9
1161,5
1162,4
1163,4
1164,2
1165,7
1166,9
1167,0
1168,9
1169,8
1170,4
1171,4
1172,9
1173,1
1174,2
1175,4
1176,9
1177,3
1178,0
1179,4
1180,1
1181,6
1182,2
1183,6
1184,3
1185,7
1186,4
1187,2
1188,6
1189,6
1190,7
1191,1
1192,8
1193,9
1194,0
1195,4
1196,1
1197,4
1198,2
1199,1
1200,3
1201,6
1202,4
1203,6
1204,7
1205,5
1206,8
1207,7
1208,0
1209,5
1210,1
1211,4
1212,2
1213,8
1214,4
1215,7
1216,7
1217,3
1218,8
1219,4
1220,9
1221,5
1222,8
1223,6
1224,7
1225,3
1226,4
1227,6
1228,7
1229,1
1230,7
1231,4
1232,3
1233,3
1234,9
1235,8
1236,8
1237,1
1238,8
1239,6
1240,3
1241,1
1242,1
1243,3
1244,5
1245,2
1246,8
1247,4
1248,2
1249,9
1250,7
1251,1
1252,4
1253,8
1254,2
1255,9
1256,6
1257,4
1258,1
1259,3
1260,4
1261,2
1262,5
1263,2
1264,5
1265,6
1266,8
1267,0
1268,6
1269,2
1270,4
1271,9
1272,4
1273,9
1274,4
1275,5
1276,1
1277,5
1278,8
1279,4
1280,7
1281,9
1282,5
1283,9
1284,5
1285,9
1286,1
1287,5
1288,8
1289,3
1290,9
1291,9
1292,1
1293,8
1294,3
1295,8
1296,6
1297,5
1298,2
1299,7
1300,2
1301,7
1302,6
1303,0
1304,9
1305,7
1306,9
1307,4
1308,6
1309,0
1310,5
1311,3
1312,5
1313,7
1314,3
1315,9
1316,3
1317,6
1318,8
1319,3
1320,1
1321,7
1322,6
1323,5
1324,5
1325,7
1326,6
1327,5
1328,8
1329,2
1330,1
1331,7
1332,9
1333,2
1334,7
1335,3
1336,6
1337,7
1338,8
1339,5
1340,3
1341,7
1342,7
1343,8
1344,4
1345,0
1346,7
1347,3
1348,0
1349,6
1350,3
1351,9
1352,7
1353,1
1354,9
1355,5
1356,3
1357,6
1358,0
1359,9
1360,2
1361,8
1362,0
1363,9
1364,1
1365,6
1366,0
1367,0
1368,1
1369,9
1370,0
1371,0
1372,4
1373,2
1374,1
1375,7
1376,0
1377,3
1378,4
1379,4
1380,7
1381,5
1382,9
1383,8
1384,2
1385,0
1386,0
1387,8
1388,6
1389,2
1390,2
1391,7
1392,6
1393,1
1394,2
1395,9
1396,2
1397,6
1398,9
1399,7
1400,9
1401,5
1402,0
1403,8
1404,1
1405,5
1406,2
1407,4
1408,3
1409,9
1410,4
1411,7
1412,5
1413,6
1414,6
1415,7
1416,7
1417,6
1418,8
1419,5
1420,9
1421,7
1422,0
1423,6
1424,1
1425,9
1426,2
1427,3
1428,3
1429,5
1430,4
1431,3
1432,5
1433,8
1434,6
1435,3
1436,7
1437,2
1438,8
1439,4
1440,9
1441,5
1442,0
1443,2
1444,1
1445,4
1446,2
1447,4
1448,3
1449,1
1450,7
1451,1
1452,8
1453,0
1454,9
1455,6
1456,8
1457,1
1458,9
1459,4
1460,4
1461,9
1462,1
1463,8
1464,9
1465,6
1466,5
1467,5
1468,3
1469,3
1470,0
1471,1
1472,4
1473,3
1474,8
1475,3
1476,4
1477,2
1478,0
1479,7
1480,5
1481,5
1482,1
1483,8
1484,5
1485,3
1486,4
1487,6
1488,0
1489,5
1490,7
1491,2
1492,6
1493,6
1494,0
1495,1
1496,1
1497,4
1498,7
1499,9
1500,0
1501,0
1502,6
1503,6
1504,8
1505,6
1506,9
1507,4
1508,5
1509,2
1510,4
1511,0
1512,7
1513,5
1514,6
1515,5
1516,0
1517,9
1518,8
1519,6
1520,1
1521,9
1522,7
1523,5
1524,7
1525,5
1526,1
1527,1
1528,3
1529,0
1530,2
1531,0
1532,3
1533,8
1534,1
1535,6
1536,4
1537,6
1538,2
1539,6
1540,4
1541,8
1542,8
1543,1
1544,4
1545,4
1546,7
1547,1
1548,2
1549,2
1550,3
1551,9
1552,6
1553,4
1554,9
1555,5
1556,6
1557,2
1558,3
1559,9
1560,2
1561,6
1562,2
1563,7
1564,4
1565,3
1566,6
1567,4
1568,9
1569,7
1570,0
1571,2
1572,2
1573,9
1574,5
1575,4
1576,5
1577,0
1578,1
1579,4
1580,3
1581,6
1582,3
1583,2
1584,9
1585,7
1586,5
1587,3
1588,7
1589,0
1590,9
1591,5
1592,8
1593,3
1594,2
1595,0
1596,1
1597,8
1598,3
1599,0
1600,1
1601,2
1602,3
1603,4
1604,0
1605,0
1606,1
1607,7
1608,2
1609,9
1610,3
1611,9
1612,4
1613,2
1614,5
1615,8
1616,6
1617,7
1618,7
1619,9
1620,8
1621,9
1622,9
1623,2
1624,0
1625,0
1626,1
1627,4
1628,2
1629,4
1630,3
1631,9
1632,4
1633,3
1634,5
1635,7
1636,6
1637,5
1638,7
1639,1
1640,8
1641,6
1642,9
1643,3
1644,0
1645,4
1646,1
1647,2
1648,2
1649,5
1650,3
1651,7
1652,4
1653,1
1654,7
1655,7
1656,8
1657,1
1658,9
1659,2
1660,3
1661,2
1662,4
1663,0
1664,1
1665,8
1666,4
1667,3
1668,6
1669,5
1670,6
1671,4
1672,7
1673,9
1674,3
1675,1
1676,3
1677,0
1678,2
1679,1
1680,1
1681,0
1682,9
1683,9
1684,4
1685,6
1686,7
1687,6
1688,3
1689,5
1690,5
1691,4
1692,4
1693,6
1694,9
1695,1
1696,1
1697,3
1698,1
1699,1
1700,0
1701,5
1702,1
1703,4
1704,4
1705,6
1706,6
1707,6
1708,0
1709,1
1710,2
1711,0
1712,8
1713,2
1714,2
1715,1
1716,1
1717,3
1718,7
1719,9
1720,5
1721,3
1722,0
1723,2
1724,0
1725,6
1726,2
1727,9
1728,0
1729,7
1730,6
1731,9
1732,9
1733,1
1734,2
1735,9
1736,3
1737,4
1738,7
1739,9
1740,6
1741,0
1742,9
1743,4
1744,8
1745,7
1746,7
1747,9
1748,8
1749,6
1750,9
1751,5
1752,2
1753,2
1754,2
1755,3
1756,9
1757,8
1758,8
1759,8
1760,6
1761,4
1762,4
1763,4
1764,4
1765,2
1766,4
1767,6
1768,0
1769,7
1770,0
1771,7
1772,8
1773,2
1774,0
1775,8
1776,8
1777,3
1778,6
1779,8
1780,6
1781,6
1782,8
1783,6
1784,5
1785,1
1786,1
1787,8
1788,7
1789,8
1790,3
1791,6
1792,8
1793,9
1794,5
1795,0
1796,0
1797,0
1798,3
1799,2
1800,6
1801,6
1802,7
1803,8
1804,3
1805,5
1806,1
1807,4
1808,3
1809,5
1810,9
1811,4
1812,5
1813,4
1814,1
1815,1
1816,5
1817,4
1818,0
1819,9
1820,7
1821,1
1822,2
1823,5
1824,7
1825,9
1826,4
1827,0
1828,3
1829,6
1830,1
1831,7
1832,7
1833,5
1834,6
1835,3
1836,0
1837,1
1838,1
1839,4
1840,2
1841,4
1842,3
1843,6
1844,4
1845,7
1846,5
1847,7
1848,6
1849,9
1850,7
1851,2
1852,8
1853,4
1854,9
1855,8
1856,0
1857,7
1858,1
1859,1
1860,2
1861,3
1862,3
1863,5
1864,4
1865,6
1866,5
1867,0
1868,6
1869,3
1870,7
1871,3
1872,8
1873,2
1874,9
1875,0
1876,0
1877,9
1878,1
1879,2
1880,2
1881,9
1882,3
1883,9
1884,4
1885,6
1886,5
1887,2
1888,6
1889,6
1890,7
1891,6
1892,8
1893,2
1894,9
1895,2
1896,0
1897,6
1898,7
1899,2
1900,8
1901,6
1902,9
1903,0
1904,9
1905,6
1906,0
1907,3
1908,1
1909,1
1910,4
1911,9
1912,5
1913,8
1914,1
1915,0
1916,6
1917,6
1918,7
1919,2
1920,3
1921,4
1922,2
1923,3
1924,9
1925,0
1926,0
1927,4
1928,5
1929,0
1930,6
1931,4
1932,7
1933,4
1934,3
1935,1
1936,9
1937,3
1938,9
1939,9
1940,3
1941,1
1942,8
1943,7
1944,1
1945,7
1946,2
1947,8
1948,9
1949,9
1950,6
1951,2
1952,7
1953,2
1954,5
1955,0
1956,6
1957,7
1958,3
1959,9
1960,5
1961,9
1962,0
1963,8
1964,5
1965,8
1966,4
1967,9
1968,0
1969,5
1970,3
1971,2
1972,4
1973,8
1974,7
1975,4
1976,1
1977,5
1978,4
1979,6
1980,3
1981,7
1982,7
1983,9
1984,6
1985,6
1986,2
1987,2
1988,1
1989,6
1990,5
1991,4
1992,5
1993,3
1994,0
1995,5
1996,5
1997,2
1998,0
1999,5
2000,8
2001,8
2002,4
2003,2
2004,6
2005,9
2006,7
2007,1
2008,0
2009,2
2010,3
2011,1
2012,8
2013,7
2014,1
2015,8
2016,2
2017,7
2018,2
2019,6
2020,3
2021,2
2022,3
2023,7
2024,6
2025,8
2026,7
2027,5
2028,3
2029,8
2030,4
2031,4
2032,9
2033,4
2034,6
2035,4
2036,5
2037,5
2038,1
2039,1
2040,9
2041,3
2042,8
2043,6
2044,1
2045,4
2046,1
2047,7
2048,5
2049,4
2050,0
2051,4
2052,2
2053,7
2054,7
2055,5
2056,8
2057,0
2058,6
2059,9
2060,6
2061,6
2062,8
2063,7
2064,2
2065,0
2066,8
2067,8
2068,4
2069,8
2070,4
2071,4
2072,2
2073,3
2074,2
2075,3
2076,8
2077,2
2078,0
2079,5
2080,0
2081,0
2082,1
2083,0
2084,2
2085,1
2086,3
2087,3
2088,4
2089,7
2090,5
2091,3
2092,6
2093,1
2094,7
2095,6
2096,8
2097,3
2098,9
2099,0
2100,0
2101,7
2102,1
2103,2
2104,2
2105,4
2106,3
2107,7
2108,4
2109,1
2110,5
2111,0
2112,6
2113,3
2114,7
2115,9
2116,8
2117,7
2118,9
2119,5
2120,0
2121,1
2122,1
2123,8
2124,2
2125,6
2126,3
2127,3
2128,4
2129,3
2130,5
2131,3
2132,7
2133,1
2134,8
2135,1
2136,9
2137,6
2138,8
2139,9
2140,9
2141,7
2142,5
2143,0
2144,7
2145,3
2146,0
2147,6
2148,3
2149,8
2150,1
2151,6
2152,6
2153,1
2154,8
2155,6
2156,4
2157,6
2158,1
2159,0
2160,7
2161,1
2162,6
2163,4
2164,5
2165,1
2166,6
2167,7
2168,4
2169,8
2170,2
2171,5
2172,7
2173,3
2174,8
2175,4
2176,1
2177,6
2178,3
2179,3
2180,4
2181,5
2182,3
2183,2
2184,4
2185,5
2186,7
2187,1
2188,2
2189,4
2190,0
2191,0
2192,5
2193,8
2194,0
2195,6
2196,1
2197,1
2198,9
2199,3
2200,2
2201,1
2202,3
2203,4
2204,2
2205,4
2206,3
2207,4
2208,5
2209,8
2210,5
2211,6
2212,7
2213,6
2214,8
2215,9
2216,4
2217,0
2218,9
2219,4
2220,9
2221,4
2222,7
2223,4
2224,1
2225,6
2226,1
2227,3
2228,7
2229,3
2230,8
2231,3
2232,3
2233,2
2234,4
2235,4
2236,8
2237,7
2238,6
2239,4
2240,3
2241,6
2242,8
2243,7
2244,0
2245,7
2246,9
2247,5
2248,6
2249,5
2250,2
2251,3
2252,0
2253,4
2254,1
2255,4
2256,0
2257,5
2258,6
2259,1
2260,2
2261,6
2262,3
2263,4
2264,8
2265,5
2266,9
2267,5
2268,0
2269,2
2270,7
2271,5
2272,2
2273,9
2274,3
2275,4
2276,4
2277,0
2278,5
2279,2
2280,5
2281,5
2282,2
2283,9
2284,8
2285,3
2286,5
2287,2
2288,4
2289,4
2290,6
2291,7
2292,6
2293,4
2294,6
2295,6
2296,7
2297,0
2298,9
2299,6
2300,1
2301,8
2302,8
2303,5
2304,2
2305,1
2306,1
2307,5
2308,2
2309,0
2310,6
2311,9
2312,5
2313,2
2314,3
2315,1
2316,4
2317,1
2318,7
2319,6
2320,9
2321,2
2322,4
2323,6
2324,0
2325,1
2326,0
2327,5
2328,5
2329,5
2330,9
2331,2
2332,0
2333,4
2334,1
2335,1
2336,2
2337,4
2338,3
2339,0
2340,4
2341,2
2342,5
2343,7
2344,6
2345,2
2346,7
2347,7
2348,8
2349,3
2350,9
2351,0
2352,0
2353,2
2354,1
2355,1
2356,2
2357,8
2358,3
2359,4
2360,4
2361,1
2362,5
2363,9
2364,6
2365,1
2366,7
2367,5
2368,8
2369,9
2370,9
2371,6
2372,0
2373,1
2374,1
2375,7
2376,2
2377,8
2378,3
2379,7
2380,7
2381,8
2382,8
2383,8
2384,9
2385,7
2386,6
2387,8
2388,2
2389,4
2390,7
2391,4
2392,1
2393,8
2394,5
2395,0
2396,6
2397,9
2398,2
2399,8
2400,5
2401,2
2402,0
2403,0
2404,5
2405,4
2406,4
2407,3
2408,2
2409,1
2410,0
2411,5
2412,8
2413,5
2414,1
2415,4
2416,7
2417,2
2418,1
2419,4
2420,8
2421,6
2422,3
2423,4
2424,8
2425,1
2426,7
2427,5
2428,1
2429,3
2430,7
2431,1
2432,7
2433,9
2434,0
2435,0
2436,1
2437,9
2438,4
2439,0
2440,4
2441,8
2442,4
2443,8
2444,5
2445,1
2446,7
2447,1
2448,4
2449,2
2450,4
2451,4
2452,9
2453,2
2454,7
2455,3
2456,2
2457,4
2458,6
2459,9
2460,5
2461,1
2462,3
2463,2
2464,9
2465,4
2466,4
2467,3
2468,3
2469,6
2470,9
2471,2
2472,0
2473,6
2474,8
2475,8
2476,7
2477,5
2478,6
2479,6
2480,3
2481,8
2482,0
2483,4
2484,4
2485,6
2486,6
2487,7
2488,3
2489,4
2490,7
2491,7
2492,0
2493,6
2494,1
2495,6
2496,1
2497,6
2498,2
2499,0
2500,9
2501,7
2502,3
2503,6
2504,1
2505,3
2506,8
2507,2
2508,9
2509,2
2510,8
2511,7
2512,2
2513,9
2514,5
2515,6
2516,2
2517,2
2518,6
2519,4
2520,9
2521,7
2522,6
2523,3
2524,0
2525,0
2526,5
2527,0
2528,3
2529,1
2530,3
2531,0
2532,6
2533,2
2534,3
2535,3
2536,5
2537,0
2538,0
2539,7
2540,3
2541,4
2542,7
2543,5
2544,6
2545,4
2546,1
2547,4
2548,5
2549,2
2550,5
2551,1
2552,9
2553,5
2554,8
2555,6
2556,0
2557,7
2558,9
2559,4
2560,0
2561,9
2562,1
2563,3
2564,2
2565,5
2566,3
2567,3
2568,4
2569,6
2570,5
2571,1
2572,6
2573,7
2574,7
2575,7
2576,8
2577,4
2578,9
2579,3
2580,0
2581,0
2582,1
2583,0
2584,2
2585,0
2586,3
2587,6
2588,4
2589,6
2590,7
2591,5
2592,8
2593,1
2594,9
2595,4
2596,0
2597,8
2598,1
2599,9
2600,2
2601,6
2602,3
2603,1
2604,5
2605,0
2606,6
2607,4
2608,7
2609,8
2610,8
2611,7
2612,9
2613,6
2614,0
2615,1
2616,0
2617,7
2618,1
2619,5
2620,0
2621,5
2622,1
2623,0
2624,2
2625,2
2626,3
2627,8
2628,0
2629,1
2630,6
2631,3
2632,9
2633,7
2634,6
2635,8
2636,6
2637,6
2638,5
2639,9
2640,2
2641,0
2642,9
2643,6
2644,1
2645,5
2646,4
2647,2
2648,9
2649,7
2650,5
2651,3
2652,7
2653,1
2654,5
2655,6
2656,6
2657,7
2658,7
2659,3
2660,3
2661,6
2662,1
2663,2
2664,4
2665,7
2666,1
2667,8
2668,3
2669,2
2670,3
2671,8
2672,7
2673,5
2674,3
2675,7
2676,9
2677,8
2678,8
2679,6
2680,8
2681,8
2682,8
2683,2
2684,8
2685,4
2686,8
2687,1
2688,4
2689,5
2690,7
2691,1
2692,2
2693,2
2694,1
2695,9
2696,9
2697,5
2698,8
2699,2
2700,7
2701,9
2702,9
2703,7
2704,3
2705,7
2706,3
2707,1
2708,0
2709,6
2710,7
2711,9
2712,5
2713,2
2714,4
2715,1
2716,1
2717,0
2718,1
2719,3
2720,2
2721,9
2722,6
2723,4
2724,1
2725,3
2726,5
2727,9
2728,0
2729,1
2730,1
2731,4
2732,2
2733,3
2734,3
2735,0
2736,4
2737,2
2738,5
2739,3
2740,6
2741,4
2742,7
2743,5
2744,0
2745,0
2746,1
2747,2
2748,2
2749,7
2750,3
2751,7
2752,4
2753,7
2754,5
2755,6
2756,6
2757,5
2758,7
2759,3
2760,8
2761,1
2762,9
2763,9
2764,0
2765,7
2766,1
2767,8
2768,2
2769,0
2770,3
2771,4
2772,4
2773,3
2774,5
2775,1
2776,6
2777,7
2778,9
2779,5
2780,8
2781,0
2782,2
2783,1
2784,6
2785,3
2786,9
2787,3
2788,6
2789,2
2790,1
2791,2
2792,9
2793,1
2794,9
2795,3
2796,9
2797,9
2798,4
2799,4
2800,4
2801,2
2802,3
2803,9
2804,8
2805,0
2806,1
2807,4
2808,4
2809,8
2810,1
2811,2
2812,2
2813,7
2814,9
2815,3
2816,0
2817,3
2818,4
2819,3
2820,9
2821,6
2822,1
2823,2
2824,7
2825,0
2826,4
2827,6
2828,4
2829,1
2830,1
2831,4
2832,8
2833,3
2834,7
2835,6
2836,6
2837,2
2838,0
2839,2
2840,8
2841,8
2842,1
2843,7
2844,8
2845,2
2846,2
2847,7
2848,6
2849,6
2850,2
2851,7
2852,1
2853,0
2854,2
2855,4
2856,5
2857,1
2858,4
2859,9
2860,5
2861,6
2862,6
2863,0
2864,7
2865,2
2866,7
2867,5
2868,5
2869,1
2870,3
2871,1
2872,0
2873,4
2874,2
2875,1
2876,2
2877,1
2878,2
2879,6
2880,7
2881,0
2882,3
2883,6
2884,5
2885,3
2886,2
2887,4
2888,1
2889,0
2890,4
2891,2
2892,4
2893,1
2894,3
2895,4
2896,0
2897,6
2898,0
2899,5
2900,8
2901,4
2902,7
2903,0
2904,3
2905,1
2906,1
2907,2
2908,7
2909,6
2910,9
2911,5
2912,6
2913,0
2914,3
2915,5
2916,3
2917,1
2918,0
2919,1
2920,5
2921,4
2922,6
2923,9
2924,6
2925,3
2926,8
2927,5
2928,7
2929,6
2930,3
2931,1
2932,5
2933,9
2934,0
2935,2
2936,1
2937,1
2938,2
2939,8
2940,3
2941,8
2942,4
2943,0
2944,5
2945,5
2946,6
2947,5
2948,7
2949,7
2950,8
2951,0
2952,9
2953,6
2954,0
2955,9
2956,1
2957,8
2958,2
2959,3
2960,3
2961,4
2962,4
2963,3
2964,5
2965,5
2966,6
2967,5
2968,7
2969,1
2970,8
2971,8
2972,9
2973,0
2974,0
2975,2
2976,1
2977,6
2978,2
2979,7
2980,3
2981,7
2982,4
2983,7
2984,7
2985,7
2986,8
2987,1
2988,9
2989,4
2990,8
2991,6
2992,5
2993,1
2994,7
2995,0
2996,9
2997,1
